what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1356593512432
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1356593512433
os,sysinfo,,,"win32",1356593512440
arch,sysinfo,,,"x86",1356593512440
ws,sysinfo,,,"win32",1356593512440
locale,sysinfo,,,"en_IN",1356593512440
processors,sysinfo,,,"2",1356593512441
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1356593512441
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1356593512441
java.specification.name,sysinfo,,,"Java Platform API Specification",1356593512441
java.specification.vendor,sysinfo,,,"Oracle Corporation",1356593512441
java.specification.version,sysinfo,,,"1.7",1356593512441
java.vendor,sysinfo,,,"Oracle Corporation",1356593512441
java.version,sysinfo,,,"1.7.0_07",1356593512441
java.vm.info,sysinfo,,,"mixed mode",1356593512441
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1356593512441
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356593512441
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1356593512441
java.vm.specification.version,sysinfo,,,"1.7",1356593512441
java.vm.vendor,sysinfo,,,"Oracle Corporation",1356593512441
java.vm.version,sysinfo,,,"23.3-b01",1356593512441
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1356593512447
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1356593512899
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1356593514213
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1356593517814
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1356593517835
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1356593518193
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1356593520858
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1356593521203
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1356593523085
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1356593523313
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1356593533697
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1356593533697
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1356593534469
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1356593535676
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1356593537995
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1356593541632
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1356593544162
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1356593545211
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1356593545729
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1356593545843
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1356593547602
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1356593555004
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1356593555651
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1356593555673
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1356593562225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356593570917
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1356593625884
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1356593626062
error,log,,,"Failed to load properties file for project 'KBH'",1356593626770
error,log,,,"Failed to load properties file for project 'KBH'",1356593628124
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1356593628296
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1356593628416
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1356593628430
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1356593629496
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1356593630852
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1356593632316
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1356593632332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356593632600
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1356593632832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356593640720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594418647
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356594424481
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356594424618
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1356594424692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594458194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594459665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594461450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594471168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594481890
error,log,,,"Failed to load properties file for project 'KyaBaatHai'",1356594540985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594543386
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1356594549476
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1356594556335
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1356594556440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594559676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594559778
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356594574777
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1356594584690
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1356594584693
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1356594595611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594596250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594597066
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1356594605517
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1356594608798
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1356594608805
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1356594609064
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1356594609247
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1356594611020
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1356594612345
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1356594613111
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1356594614407
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1356594615250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594615269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594652056
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356594662142
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1356594669201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594680791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594690690
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1356594690803
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356594695316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356594713527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595513826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595515020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595516092
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1356595536119
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1356595536258
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1356595540096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356595588522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595597074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595600467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595622962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595624455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356595629956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595653666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595936817
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356595942078
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356595944992
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1356595945655
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1356595946165
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356595946973
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1356595954924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356595966993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596009736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596023372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596051620
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356596055621
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356596055925
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356596056123
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356596062816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356596065591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596073936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596082387
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1356596088000
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1356596088559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596090007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596102026
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1356596118408
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1356596119900
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1356596129519
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1356596129576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356596136998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356596150741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596152476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596162662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356596171453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356596171923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356596172272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596183542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596187668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596207825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596212030
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1356596234605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356596264198
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356596267280
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356596270765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356596273715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596286610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596514595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356596520894
